X,Y,NAME,icon_url
-48.7591666666667,-24.6366666666667,Pavão Barragem,./0.png
-48.7819444444444,-24.6488888888889,Pavão Filtro,./0.png
-48.8933333333333,-24.6477777777778,Caraças Barragem,./0.png
-48.8913888888889,-24.6544444444444,Caraças Filtro,./0.png
-48.8504722222222,-24.5859555555556,Córrego Guarda Mão,./0.png
-48.7515611111111,-24.6339805555556,Pavão - Córrego Zé Lambert,./0.png
-48.8849944444445,-24.6358527777778,Caraças - Córrego do Salto,./0.png
-48.9168555555555,-24.6360555555556,Saltinho - Córrego Zaqueu,./0.png
