X,Y,COD.NASC,COD.SIT,INT_NESC,PROT_NASC,CLASS_NASC,COORD_X,COORD_Y,icon_url
-48.7889766788752,-24.5898917907141,,,,,,723885.178,7278663.538,./0.png
-48.7906181606261,-24.5909219467971,,,,,,723717.078,7278552.091,./0.png
-48.7920907616301,-24.5921886029535,,,,,,723565.665,7278414.169,./0.png
-48.7923840227929,-24.5929217565839,,,,,,723534.658,7278333.430,./0.png
-48.7923695096793,-24.5937997300031,,,,,,723534.568,7278236.147,./0.png
-48.7920246806966,-24.5940942769814,,,,,,723568.971,7278202.958,./0.png
-48.7919004965666,-24.5951075032219,,,,,,723579.749,7278090.514,./0.png
-48.7916291951872,-24.5955382100555,,,,,,723606.462,7278042.361,./0.png
-48.7946258708977,-24.593576379934,,,,,,723306.421,7278264.554,./0.png
-48.7952884785996,-24.5945819866918,,,,,,723237.522,7278154.232,./0.png
-48.795005549264,-24.5951633821263,,,,,,723265.147,7278089.367,./0.png
-48.7943149237079,-24.5955589703028,,,,,,723334.396,7278044.424,./0.png
-48.7947159658933,-24.5963094512871,,,,,,723292.443,7277961.940,./0.png
-48.7888518177911,-24.5913705418932,,,,,,723895.193,7278499.524,./0.png
-48.7901337594334,-24.5925835652489,,,,,,723763.187,7278367.235,./0.png
-48.7904836680362,-24.5931497217499,,,,,,723726.738,7278305.087,./0.png
-48.7906957690659,-24.5950629118894,,,,,,723701.852,7278093.495,./0.png
-48.787920921528,-24.5912494788398,,,,,,723989.700,7278511.419,./0.png
-48.7870305388291,-24.5922658348351,,,,,,724078.077,7278397.381,./0.png
-48.78604106988,-24.5925704813623,,,,,,724177.757,7278362.021,./0.png
-48.7853049712677,-24.5935929444886,,,,,,724250.493,7278247.555,./0.png
-48.7865574684941,-24.5960696482741,,,,,,724119.216,7277975.235,./0.png
-48.7899263151282,-24.5968050316183,,,,,,723776.688,7277899.257,./0.png
-48.7848303675766,-24.5958003764372,,,,,,724294.629,7278002.249,./0.png
-48.7855345813921,-24.5974401138207,,,,,,724220.377,7277821.752,./0.png
-48.7863419346017,-24.5991601820924,,,,,,724135.538,7277632.524,./0.png
-48.7894287554394,-24.5997223698985,,,,,,723821.891,7277575.274,./0.png
-48.8854116666667,-24.607985,,,,,,714086.514,7276812.817,./0.png
-48.8863495699855,-24.6087873235641,,,,,,713990.164,7276725.402,./0.png
-48.8874633333333,-24.6095783333333,,,,,,713876.025,7276639.513,./0.png
-48.887415,-24.61052,,,,,,713879.317,7276535.128,./0.png
-48.8875366666667,-24.61177,,,,,,713864.869,7276396.851,./0.png
-48.8840676737002,-24.6121207434576,,,,,,714215.575,7276352.597,./0.png
-48.8819983333333,-24.6120166666667,,,,,,714425.314,7276360.900,./0.png
-48.8811183333333,-24.6115183333333,,,,,,714515.282,7276414.729,./0.png
-48.8803304982774,-24.6118112978013,,,,,,714594.566,7276381.047,./0.png
-48.8914214999474,-24.6129919719592,,,,,,713469.377,7276267.529,./0.png
-48.8896210379457,-24.6123479802776,,,,,,713652.803,7276336.068,./0.png
-48.8884633634786,-24.6136802868558,,,,,,713767.773,7276186.686,./0.png
-48.8875569188249,-24.6141740952214,,,,,,713858.727,7276130.576,./0.png
-48.8867480914812,-24.6136577757242,,,,,,713941.514,7276186.511,./0.png
-48.8858005164188,-24.6137799972844,,,,,,714037.265,7276171.497,./0.png
-48.8847502347104,-24.6140372825178,,,,,,714143.187,7276141.361,./0.png
-48.8835484765725,-24.6138382021999,,,,,,714265.226,7276161.541,./0.png
-48.8837228479182,-24.6149568769931,,,,,,714245.660,7276037.894,./0.png
